object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
64.279.14,False,True,42272,221,Asian Art,Vase with flowers,China,18th–19th century,1700,1899,Porcelain painted in polychrome enamels on black ground (Jingdezhen famille noire ware),"Gift of Edwin C. Vogel, 1964"
02.18.679,False,True,42058,222,Asian Art,"Brush holder with Gathering at the Orchid Pavilion
",China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.689,False,True,42060,222,Asian Art,Basin,China,dated 1774,1774,1774,Jade (nephrite),"Gift of Heber R. Bishop, 1902
"
1993.456,False,True,42065,210,Asian Art,Quadrangular vase in the shape of a Neolithic cong,China,13th century,1200,1299,Copper alloy,"Purchase, Florence and Herbert Irving Gift, 1993"
"81.1.632a, b",False,True,42066,221,Asian Art,Box with lotus bundles,China,late 18th century,1768,1799,Painted enamel on copper alloy,"Bequest of Stephen Whitney Phoenix, 1881"
81.1.638a–c,False,True,42067,221,Asian Art,Incense burner (from set),China,second half 18th century,1750,1799,Painted enamel on copper alloy,"Bequest of Stephen Whitney Phoenix, 1881"
29.110.100a–e,False,True,42069,220,Asian Art,Tiered box,China,16th century,1500,1599,Cloisonné enamel,"Gift of Edward G. Kennedy, 1929"
02.18.376,False,True,42098,222,Asian Art,Two Monkeys on Two Peaches,China,18th century,1700,1799,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.697,False,True,42101,222,Asian Art,Dish in the shape of a chrysanthemum flower (one of two),China,19th century,1800,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.701,False,True,42103,222,Asian Art,Bowl,China,,1796,1820,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.798a–d,False,True,42104,222,Asian Art,Ink palette,China,19th century,1800,1899,"Jade (nephrite), silver (case)

","Gift of Heber R. Bishop, 1902"
"51.93a, b",False,True,42124,207,Asian Art,Horse and female rider,China,7th century,600,699,Unfired clay with pigment,"Fletcher Fund, 1951"
"14.40.555a, b",False,True,41314,207,Asian Art,Snuff bottle with camel wrangler and Manchu horse rider,China,,1821,1850,"Porcelain with overglazed enamel colors (Jingdezhen ware), coral stopper","Bequest of Benjamin Altman, 1913"
"14.40.577a, b",False,True,41336,219,Asian Art,Snuff bottle with European figures,China,,1736,1795,Painted enamel on copper with gilt bronze stopper,"Bequest of Benjamin Altman, 1913"
"14.40.593a, b",False,True,41352,219,Asian Art,Snuff bottle with boys at play,China,19th century,1800,1899,Porcelain painted with underglaze cobalt blue (Jingdezhen ware),"Bequest of Benjamin Altman, 1913"
"02.18.955a, b",False,True,41131,207,Asian Art,Snuff bottle with eight horses,China,late 18th–early 19th century,1767,1833,Chalcedony,"Gift of Heber R. Bishop, 1902"
02.18.393,False,True,41744,222,Asian Art,Belt plaque,China,16th–17th century,1500,1699,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.542,False,True,41745,222,Asian Art,Fitting in the shape of a phoenix,China,18th century,1700,1799,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
"1971.117.12a, b",False,True,41756,219,Asian Art,Snuff bottle,China,18th–19th century,1700,1899,Glass,"Bequest of Mrs. Fanny Shapiro, 1971"
1980.414,False,True,41471,211,Asian Art,Autumn landscape with egrets and ducks,China,late 15th century,1468,1499,Hanging scroll; ink and color on silk,"Purchase, Bequest of Dorothy Graham Bennett, 1980"
08.212.7,False,True,41879,219,Asian Art,Cup with Eight Daoist Immortals,China,late 18th–19th century,1767,1899,Rhinoceros horn,"Gift of J. Pierpont Morgan, 1908"
"21.175.390a, b",False,True,41637,219,Asian Art,Snuff bottle in the shape of an ear of corn,China,late 18th–19th century,1767,1899,Porcelain with yellow glaze (Jingdezhen ware) and amber stopper,"Bequest of Edmund C. Converse, 1921"
02.18.411,False,True,41917,222,Asian Art,Immortal,China,18th century,1736,1795,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.400,False,True,42126,219,Asian Art,Miniature vase in the shape of an ancient ritual vessel (gu),China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
79.2.571,False,True,42321,221,Asian Art,Plate with a drunken scholar and an attendant,China,18th century,1700,1799,Porcelain painted with overglaze polychrome enamels (Jingdezhen ware),"Purchase by subscription, 1879"
02.18.706,False,True,42135,222,Asian Art,Brush washer,China,18th century,1700,1799,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
24.80.139,False,True,42137,219,Asian Art,Fantastic animal carrying books,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Mary Clark Thompson, 1923"
24.80.136,False,True,42139,219,Asian Art,Brush washer in the shape of a plum blossom,China,late 18th–early 19th century,1767,1833,Jade (nephrite),"Bequest of Mary Clark Thompson, 1923"
"1982.362a, b",False,True,42323,201,Asian Art,Teapot in the Shape of a Plum Blossom,China,early 17th century,1600,1633,Stoneware (Yixing ware),"Purchase, Ann Eden Woodward Foundation Gift, 1982"
1984.472,False,True,42324,219,Asian Art,Vase in the shape of an archaic bronze vessel (gu),China,18th century,1700,1799,Stoneware with relief decoration (Yixing ware),"Gift of Michael Abraham, 1984"
50.61.10,False,True,42331,205,Asian Art,Jar (Guan),China,4th–3rd century BCE,-399,-200,"Stoneware with impressed and carved decoration

","Harris Brisbane Dick Fund, 1950"
1978.395,False,True,42334,207,Asian Art,Handled Bowl,China,,317,420,Earthenware with green glaze,"Gift of Dr. and Mrs. George Fan, 1978"
1990.291.1,False,True,42335,207,Asian Art,Candle Stand in the Shape of a Fantastic Animal,China,,265,316,Stoneware with green glaze,"Gift of Mr. and Mrs. Stanley Herzman, 1990"
79.2.366,False,True,42340,204,Asian Art,"Brush Pot with King Wen and the Scholar Jiang Taigong

",China,mid-17th century,1634,1666,"Porcelain with incised decoration painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Purchase by subscription, 1879"
1985.239.1,False,True,42347,225,Asian Art,Eight Views of the Xiao and Xiang Rivers,Japan,16th century,1500,1573,One of a triptych of hanging scrolls; ink and color on paper,"Purchase, Harris Brisbane Dick Fund; Mary Livingston Griggs and Mary Griggs Burke Foundation Gifts; Gifts of Major General R. B. Woodruff, C. M. Owen, Elizabeth B. Gerhard, and Mr. and Mrs. Teiji Ito, Bequests of Stephen Whitney Phoenix and Bruce Webster, Fletcher Fund, and The Howard Mansfield Collection, Gift of Howard Mansfield, by exchange; and funds from various donors, 1985"
1991.253.1,False,True,42361,207,Asian Art,Figure of a Dog,China,,25,220,Earthenware with dark green glaze,"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1991.253.6,False,True,42378,207,Asian Art,Covered jar,China,ca. late 7th–first half of the 8th century,667,749,Earthenware with three-color (sancai) glaze,"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1991.253.10,False,True,42379,207,Asian Art,Horse and female rider,China,late 7th–first half of the 8th century,667,749,Earthenware with three-color (sancai) glaze and pigment,"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1991.253.11,False,True,42383,207,Asian Art,Horse groom,China,ca. late 7th–first half of the 8th century,667,749,Earthenware with three-color (sancai) glaze and pigment,"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
61.200.66,False,True,42403,201,Asian Art,"Vase in Shape of Archaic Bronze Vessel with Flowers and Birds

",China,late 17th–early 18th century,1667,1733,"Porcelain painted with colored enamels over transparent glaze and gilded (Jingdezhen ware)

","Bequest of John D. Rockefeller Jr., 1960"
67.245.4,False,True,42416,219,Asian Art,Water jar with clouds,China,,1662,1722,"Porcelain with raised decoration under celadon glaze (Jingdezhen ware)

","Gift of Edwin C. Vogel, 1967"
50.145.301,False,True,42447,210,Asian Art,"Vase with dragonfish handles
",China,12th–13th century,1100,1299,"Porcelain with relief decoration under celadon glaze (Longquan ware)

","Bequest of Mary Stillman Harkness, 1950"
26.292.98,False,True,42461,205,Asian Art,"Basin with Lotus Decoration

",China,11th–12th century,1000,1199,Porcelain with carved and incised decoration under ivory glaze (Ding ware),"Gift of Mrs. Samuel T. Peters, 1926"
18.69.1,False,True,42462,220,Asian Art,Plate with two deer amid flowers,China,12th–13th century,1100,1299,Porcelain with mold-impressed decoration under ivory white glaze (Ding ware),"Rogers Fund, 1918"
