object_number,is_highlight,is_public_domain,object_id,gallery_number,department,title,culture,object_date,object_begin_date,object_end_date,medium,credit_line
1982.294,False,True,42503,204,Asian Art,"Bowl with Peonies, Narcissus, and Pomegranates

",China,early 15th century,1400,1433,"Porcelain painted in cobalt blue under transparent glaze (Jingdezhen ware)

","Gift of Mrs. Richard E. Linburn, 1982"
1984.483.1,False,True,42508,204,Asian Art,Altar bowl with Tibetan inscription,China,early 15th century,1400,1433,"Porcelain painted with cobalt blue and with incised decoration under transparent glaze (Jingdezhen ware)

","Gift of Mrs. Stanley Herzman, 1984"
1986.208.1,False,True,42511,204,Asian Art,"Jar with Scrolling Vine and Gourds

",China,15th–16th century,1400,1599,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Purchase, Mrs. Richard E. Linburn Gift, 1986"
1984.358,False,True,42514,225,Asian Art,Dish with Peonies,China,late 14th–early 15th century,1367,1433,"Stoneware with incised decoration under celadon glaze (Longquan ware) 

","Gift of Dr. Vallo Benjamin, 1984"
1987.85,False,True,42515,220,Asian Art,Chicken cup,China,,1465,1487,Porcelain painted in underglaze cobalt blue and overglaze colored enamel (Jingdezhen ware),"Purchase, Mrs. Richard E. Linburn Gift, 1987"
63.175.2,False,True,42520,204,Asian Art,Bowl with Dragon,China,mid-16th century,1534,1566,"Porcelain with incised decoration under and colored enamels over transparent glaze (Jingdezhen ware)

","Anonymous Gift, 1963"
1981.368.1,False,True,42522,204,Asian Art,Jar with Dragon,China,16th century,1506,1521,"Porcelain with incised decoration under colored glazes

","Gift of Mrs. Richard E. Linburn, 1981"
19.28.10,False,True,42526,204,Asian Art,Dish with Gardenia,China,late 16th century,1567,1599,"Porcelain painted with cobalt blue under and colored enamel over transparent glaze (Jingdezhen ware)

","Rogers Fund, 1919"
18.56.14,False,True,42528,204,Asian Art,Brush Rest with Persian Inscription,China,early 16th century,1500,1533,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Rogers Fund, 1918"
1991.253.48,False,True,42532,201,Asian Art,Dish with Flowers and Birds,China,dated 1561,1561,1561,"Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware)

","Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
79.2.1122,False,True,42548,204,Asian Art,"Bowl with Stylized Leaves

",China,second half of the 16th century,1550,1599,"Porcelain painted with cobalt blue under transparent glaze in interior and blue glaze and gold on exterior (Jingdezhen ware); English gilt silver mount, ca. 1590–1610

","Purchase by subscription, 1879"
17.127.2,False,True,42549,204,Asian Art,Jar with carp in lotus pond,China,mid-16th century,1534,1566,"Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware)
","Rogers Fund, 1917"
56.209,False,True,42702,206,Asian Art,Standing bodhisattva,China,mid- to late 6th century,550,599,Limestone with traces of pigment,"Gift of Mr. and Mrs. D. Herbert Beskind, 1956"
"29.100.32a, b",False,True,42703,206,Asian Art,Bodhisattva Avalokiteshvara (Guanyin),China,late 6th–early 7th century,567,633,Limestone with traces of pigment,"H. O. Havemeyer Collection, Bequest of Mrs. H. O. Havemeyer, 1929"
02.18.297,False,True,43704,354,Asian Art,Ceremonial axe,New Caledonia,,1902,1902,"Nephrite, wood, fiber, flying fox fur","Gift of Heber R. Bishop, 1902"
65.29.1,False,True,42710,206,Asian Art,Stele commissioned by members of a devotional society,China,dated 528,528,528,Limestone with traces of pigment,"The Sackler Collections, Purchase, The Sackler Fund, 1965"
42.25.11,False,True,42714,206,Asian Art,Head of a bodhisattva,China,late 5th century,471,499,Sandstone with traces of pigment,"Gift of Abby Aldrich Rockefeller, 1942"
51.52,False,True,42715,206,Asian Art,Head of a bodhisattva,China,ca. 565–75,565,575,Limestone with pigment,"Gift of C. T.  Loo, 1951"
65.29.2,True,True,42716,206,Asian Art,Buddha of Medicine Bhaishajyaguru (Yaoshi fo),China,ca. 1319,1309,1329,Water-based pigment over foundation of clay mixed with straw,"Gift of Arthur M. Sackler, in honor of his parents, Isaac and Sophie Sackler, 1965"
"42.25.3a, b",False,True,42717,206,Asian Art,"Bodhisattva, probably Avalokiteshvara (Guanyin)",China,late 6th century,571,599,Limestone with traces of pigment,"Gift of Abby Aldrich Rockefeller, 1942"
02.18.315,False,True,43721,352,Asian Art,Greenstone pendant,Maori; Aotearoa New Zealand,19th century,1800,1899,"Nephrite jade (pounamu), shell, pigment, and wax","Gift of Heber R. Bishop, 1902"
"2011.575.1a, b",False,True,42721,209,Asian Art,Rock in the form of a fantastic mountain,China,20th century,1900,1999,Taihu limestone; wood stand,"Rosenblum Family Collection, Gift of Anna Rosenblum Palmer, 2011"
52.41,False,True,42723,208,Asian Art,"Monk, probably Ananda (Anantuo)",China,8th century,700,799,Limestone with pigment,"Gift of A. W. Bahr, in memory of his wife, Helen Marion Bahr, 1952"
28.123,False,True,42726,208,Asian Art,Attendant Bodhisattva,China,10th–11th century,960,1099,Wood (foxglove) with traces of  pigment; single-woodblock construction,"Rogers Fund, 1928"
"53.196a, b",False,True,42727,208,Asian Art,"Bodhisattva Avalokiteshvara in Water Moon Form (Shuiyue Guanyin)

",China,dated 1385,1385,1385,Wood (willow) with gesso and traces of pigment,"Anonymous Gift, in memory of Edward Robinson, 1953"
28.122.1,False,True,42729,208,Asian Art,Attendant Bodhisattva,China,10th–11th century,900,1099,"Wood (willow) with gesso and pigment; single woodblock construction

","Rogers Fund, 1928"
28.56,False,True,42731,208,Asian Art,Bodhisattva Avalokiteshvara in Water Moon Form (Shuiyue Guanyin),China,11th century,1000,1099,Wood (willow) with traces of pigment; multiple-woodblock construction,"Fletcher Fund, 1928"
26.123,True,True,42733,208,Asian Art,Buddha Maitreya (Mile),China,dated 486 (10th year of Taihe reign),486,486,Gilt bronze with traces of pigment; piece-mold cast,"John Stewart Kennedy Fund, 1926"
1981.242.3,False,True,42737,218,Asian Art,Qin (Seven-stringed zither),China,late 16th century,1571,1599,Purple sandalwood (zitan) and black lacquer,"Gift of Robert Hatfield Ellsworth, in honor of Mrs. C. Douglas Dillon, 1981"
36.121,False,True,42739,218,Asian Art,Water Buffalo,China,18th century,1700,1799,Jade (nephrite),"Gift of Mrs. Edward S. Harkness, 1936"
1976.193.7a–o,False,True,42742,218,Asian Art,Wardrobe,China,16th century,1500,1599,"Wood (Huanghuali, or Dalbergia odoriferal); metal fittings","Purchase, The Vincent Astor Foundation Gift, 1976"
"1976.193.1a, b",False,True,42743,218,Asian Art,Armchair,China,17th century,1600,1699,Purple sandalwood (zitan),"Purchase, The Vincent Astor Foundation Gift, 1976"
1976.193.8a–o,False,True,42744,218,Asian Art,Wardrobe,China,16th century,1500,1599,Wood (Huanghuali/Dalbergia odoriferal); metal fittings,"Purchase, The Vincent Astor Foundation Gift, 1976"
1976.193.6a–d,False,True,42745,218,Asian Art,Couch,China,17th century,1600,1699,"Wood (huanghuali, or Dalbergia odorifera)","Purchase, The Vincent Astor Foundation Gift, 1976"
1977.77.1,False,True,42746,218,Asian Art,Stool,China,17th–18th century,1600,1799,Wood (jizhimu),"Gift of Robert Hatfield Ellsworth, in memory of Alan Priest, 1977"
1981.97,False,True,42747,218,Asian Art,Couch Table,China,17th century,1600,1699,Wood (huanghuali or Dalbergia odorifera),"Gift of Robert Hatfield Ellsworth, in honor of Brooke Russell Astor, 1981"
21.175.70,False,True,43209,219,Asian Art,Cup with dragon handles,China,17th century,1600,1744,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
"65.86.108a, b",False,True,43214,219,Asian Art,Cup and saucer,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
04.6.20,False,True,43225,219,Asian Art,Ornament in the shape of a boat,China,late 18th–early 19th century,1767,1833,Jade (nephrite),"The F.O. Matthiessen Collection, Gift of Mrs. Emma Matthiessen, in memory of her husband, 1903"
21.175.84,False,True,43244,219,Asian Art,Incense stick holder,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
"65.86.190a, b",False,True,43264,219,Asian Art,Vase in the shape of a magnolia,China,18th century,1700,1799,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
50.145.118,False,True,43273,219,Asian Art,Dish with grapes and squirrels,China,late 18th–early 19th century,1777,1833,Jade (jadeite),"Bequest of Mary Stillman Harkness, 1950"
65.86.98a–d,False,True,43277,219,Asian Art,Twin Vases,China,19th century,1800,1899,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
65.86.111,False,True,43289,219,Asian Art,Tray with magic fungus (lingzhi),China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
"65.86.142a, b",False,True,43303,219,Asian Art,Covered box with lotus spray,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
21.175.47a–c,False,True,43304,219,Asian Art,Covered Incense Box,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
"65.86.81a, b",False,True,43306,219,Asian Art,Covered box with floral design,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Alfred W. Hoyt Collection, Bequest of Rosina H. Hoppin, 1965"
"21.175.46a, b",False,True,43322,219,Asian Art,Vase on Stand,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
02.18.387,False,True,43775,222,Asian Art,Belt plaque,China,16th century,1500,1599,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.555,False,True,43885,222,Asian Art,"Two cranes holding peaches

",China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
1994.605.14,False,True,44316,207,Asian Art,Seal with Knob in the Shape of a Turtle,China,ca. 1st–2nd century,-10,210,Silver,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.18,False,True,44319,207,Asian Art,Figure of a Standing Dog,China,1st–2nd century,1,199,Earthenware with green glaze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.20,False,True,44321,207,Asian Art,Wellhead with Bucket,China,,25,220,Earthenware with green lead glaze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.22,False,True,44323,207,Asian Art,Goat Pen,China,1st–early 3rd century,1,233,Earthenware with green lead glaze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.23,False,True,44324,207,Asian Art,Square Pen with Six Rams,China,1st–early 3rd century,1,233,Earthenware with green lead glaze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
02.18.571,False,True,43929,222,Asian Art,Ornamental plaque,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.574,False,True,43932,222,Asian Art,Pendant,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.577,False,True,43937,222,Asian Art,Ornament,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
"02.18.838a, b",False,True,44074,222,Asian Art,Covered vessel in the shape of a heavenly rooster,China,18th–19th century,1700,1899,Rock crystal,"Gift of Heber R. Bishop, 1902"
02.18.651,False,True,43959,222,Asian Art,God of longevity,China,19th century,1800,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.655,False,True,43960,219,Asian Art,Paperweight in the shape of a bitter melon,China,late 18th–early 19th century,1777,1833,Jade (jadeite),"Gift of Heber R. Bishop, 1902"
02.18.667,False,True,43970,222,Asian Art,Vase,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.710,False,True,44000,222,Asian Art,Garment hook with feline motif,China,19th century,1800,1899,Jade (jadeite),"Gift of Heber R. Bishop, 1902"
02.18.711,False,True,44001,219,Asian Art,Belt hook with dragons,China,19th century,1800,1899,Jade (jadeite),"Gift of Heber R. Bishop, 1902"
1989.363.117,False,True,44626,213,Asian Art,Landscape,China,dated 1649,1649,1649,Hanging scroll; ink on satin,"Bequest of John M. Crawford Jr., 1988"
23.180.6,False,True,44803,207,Asian Art,Female musician,China,late 7th century,667,699,Earthenware with pigment,"Rogers Fund, 1923"
23.180.7,False,True,44804,207,Asian Art,Female musician with harp,China,late 7th century,667,699,Earthenware with pigment,"Rogers Fund, 1923"
25.20.3,False,True,44806,207,Asian Art,Mirror with hunting scene,China,8th century,700,799,Bronze,"Rogers Fund, 1925"
21.46,False,True,44807,207,Asian Art,"Cup with figures in a landscape
",China,9th century,800,899,"Silver with parcel gilding

","Rogers Fund, 1921"
1975.268.418,False,True,44834,223,Asian Art,Wild Boar Piglet Clay Tomb Sculpture (Haniwa),Japan,6th century,500,599,Earthenware,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
"26.118a, b",False,True,44838,224,Asian Art,"Dainichi, the Cosmic Buddha (Mahavairocana)",Japan,12th century,1100,1199,Wood with lacquer and gold leaf,"Rogers Fund, 1926"
02.18.441,False,True,43811,222,Asian Art,"Water vessel in the shape of a gourd

",China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
1975.268.163,False,True,44842,224,Asian Art,Fudō Myōō (Achala Vidyaraja),Japan,12th century,1100,1199,"Wood with lacquer, gold leaf, and color; joined-woodblock construction (yosegi-zukuri)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
"1994.605.46a, b",False,True,44347,207,Asian Art,Circular box,China,9th century,800,899,Earthenware with painted decoration under transparent glaze (Changsha ware),"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.48,False,True,44349,207,Asian Art,Jar,China,first half of 8th century,700,749,Earthenware with dappled yellow and green glaze,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.96,False,True,44396,207,Asian Art,Pig in Recumbent Position,China,1st–2nd century,1,199,Jade (nephrite),"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
"02.18.892a, b",False,True,44152,219,Asian Art,Cup with dragon handles and saucer,China,18th century,1700,1799,Chalcedony,"Gift of Heber R. Bishop, 1902"
1994.605.123,False,True,44419,205,Asian Art,"Jar in Shape of Archaic Bronze Vessel (Hu)

",China,1st–3rd century,99,299,"Earthenware with incised decoration under amber glaze

","Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
1994.605.131,False,True,44427,207,Asian Art,"Jar with Spiral Decoration and Cross Hatching

",China,Machang type (ca. 2350–2050 BCE),-2300,-2000,"Earthenware with pigment



","Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1994"
02.18.915,False,True,44176,219,Asian Art,Dish in the shape of a peach,China,late 18th–early 19th century,1777,1833,Malachite,"Gift of Heber R. Bishop, 1902"
21.175.67,False,True,44208,219,Asian Art,Washer with magic fungus (lingzhi),China,18th century,1700,1799,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
"39.65.22a, b",False,True,44218,219,Asian Art,Landscape with hermits and a crane,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Jacob Ruppert, 1939"
21.175.45a–c,False,True,44221,219,Asian Art,Incense Burner on Stand,China,late 18th–early 19th century,1777,1833,Jade (nephrite),"Bequest of Edmund C. Converse, 1921"
"21.175.105a, b",False,True,44226,219,Asian Art,Incense burner in the shape of an archaic tripod (ding),China,19th century,1800,1899,Jade (jadeite),"Bequest of Edmund C. Converse, 1921"
02.18.466a–c,False,True,44240,222,Asian Art,Seal casket with cover,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.492,False,True,44255,222,Asian Art,"Dish in the shape of a chrysanthemum flower

",China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.446,False,True,44263,222,Asian Art,Ornament (ruyi),China,18th century,1662,1722,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.600,False,True,44265,222,Asian Art,Marriage cup,China,18th–19th century,1700,1899,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
1995.69,False,True,44273,207,Asian Art,Tomb guardian in form of a civil official,Korea,19th century,1800,1899,Granite,"From the Collection of Nina and Gordon Bunshaft, Bequest of Nina Bunshaft, 1994"
02.18.800,False,True,44040,222,Asian Art,Portrait of Heber R. Bishop,France,1898,1898,1898,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
02.18.807,False,True,44044,222,Asian Art,Miniature mammoth of Siberia,Russia,1900,1900,1900,Jade (nephrite),"Gift of Heber R. Bishop, 1902"
1975.268.48a–d,True,True,44858,226,Asian Art,Old Plum,Japan,1646,1646,1646,"Four sliding-door panels (fusuma); ink, color, gold, and gold leaf on paper 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1992.165.5,False,True,44688,207,Asian Art,Pitcher (Hu),China,Machang phase (ca. 2350–2050 BCE),-2350,-2050,Earthenware with pigment,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1992
"
19.140a–c,False,True,44890,224,Asian Art,"Amida, the Buddha of Limitless Light",Japan,ca. 1250,1240,1260,"Wood with lacquer, gold leaf, and color","Rogers Fund, 1919"
1975.268.167,False,True,44893,224,Asian Art,"Jūichimen Kannon, the Bodhisattva of Compassion with Eleven Heads (Avalokiteshvara)",Japan,mid- to late 14th century,1334,1399,"Wood with lacquer, gold leaf, and metal decoration 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1992.307,False,True,44718,207,Asian Art,Weight in the Form of a Feline,China,2nd–1st century BCE,-200,-1,Bronze inlaid with gold and silver,"Purchase, Bequest of Dorothy Graham Bennett, 1992"
1992.252.1,False,True,44905,223,Asian Art,Deep Pot (Fuka-bachi),Japan,,-3500,-2500,"Earthenware with cord-marked and incised decoration

","Gift of Florence and Herbert Irving, 1992"
1992.165.10,False,True,44724,207,Asian Art,Jar (Guan),China,Banshan phase (ca. 2650–2350 BCE),-2650,-2350,Earthenware with pigment,"Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber, 1992
"
1991.253.16,False,True,44735,205,Asian Art,Dish with Scalloped Rim,China,11th century,1000,1099,Porcelain with ivory glaze (Ding ware),"Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1991.253.39,False,True,44745,220,Asian Art,"Bowl with pomegranates, lotus scrolls, and chrysanthemum petals",China,early 15th century,1400,1433,"Porcelain painted in underglaze cobalt blue (Jingdezhen ware)

","Gift of Stanley Herzman, in memory of Adele Herzman, 1991"
1970.296.1,False,True,44945,231,Asian Art,Over Robe (Uchikake) with Mount Hōrai,Japan,late 18th century–first half 19th century,1768,1849,"Figured satin-weave silk (rinzu) with paste-resist dyeing, stencil-dyed dots, and silk- and gold-thread embroidery","Gift of Dr. and Mrs. Jonas M. Goldstone, 1970"
1985.214.3,False,True,44773,207,Asian Art,Lobed tripod cauldron (Liding),China,12th–11th century BCE,-1199,-1000,Bronze inlaid with black pigment,"Gift of Ernest Erickson Foundation, 1985"
49.135.15,False,True,44775,207,Asian Art,Wine warmer (Jue),China,12th century BCE,-1199,-1100,Bronze,"Bequest of Addie W. Kahn, 1949"
28.121,False,True,44795,207,Asian Art,Camel,China,mid-to-late 6th century,550,599,Earthenware with traces of pigment,"Rogers Fund, 1928"
1977.261,False,True,45365,232,Asian Art,Storage Jar (Tsubo,Japan,12th century,1100,1199,Stoneware with natural ash glaze (Echizen ware),"Gift of Mary Griggs Burke, 1977"
"1975.268.44, .45",False,True,45258,226,Asian Art,Bamboo in the Four Seasons,Japan,late 15th–early 16th century,1480,1525,"Pair of six-panel screens; ink, color, and gold leaf on paper 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
"1975.268.57, .58",False,True,45264,227,Asian Art,Bugaku Dances (front); Chinese Lions (reverse),Japan,early 18th century,1700,1733,"Pair of six-panel screens; ink, color, and gold leaf on paper 
","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
JP990,False,True,45292,229,Asian Art,"Wisteria Maiden with an Ōtsu Demon Dressed as an Itinerant Monk, from the series Souvenir Paintings from Ōtsu, Stocked in Edo (Edo Shi-ire Ōtsu Miyage)",Japan,ca. 1802–3,1802,1803,Woodblock print (nishiki-e); ink and color on paper,"Gift of Estate of Samuel Isham, 1914
"
JP1164,False,True,45312,231,Asian Art,"The Kawachiya Restaurant, Yanagi-bashi, Ryōgoku (Ryōgoku Yanagi-bashi, Kawachiya), from the series A Collection of Famous Restaurants of Edo (Edo Kōmei Kaitei Zukushi)",Japan,ca. 1838–40,1838,1840,Woodblock print (nishiki-e); ink and color on paper,"Rogers Fund, 1919
"
1975.268.657,False,True,45490,231,Asian Art,Set of Five Teacups (Yunomi-wan) with Chrysanthemum and Broken-Ice Pattern,Japan,late 18th–early 19th century,1767,1833,"Porcelain with cobalt blue under transparent glaze (Hizen ware, Arita type)","The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1973.80.2,False,True,45515,202,Asian Art,One from set of five squared food vessels (mukōzuke) for tea-gathering meal,Japan,early 17th century,1600,1633,"Stoneware with iron-oxide and copper green overglaze decoration (Mino ware, Yashichida Oribe type)
","Purchase, Mary Livingston Griggs and Mary Griggs Burke Foundation Gift, 1973"
1975.268.188,False,True,45530,223,Asian Art,Head of a Clay Figure (Dogū),Japan,,-3500,-2500,Earthenware with incised decoration,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
1975.268.189,False,True,45531,223,Asian Art,Head of a Clay Figure (Dogū),Japan,,-2500,-1200,Earthenware,"The Harry G. C. Packard Collection of Asian Art, Gift of Harry G. C. Packard, and Purchase, Fletcher, Rogers, Harris Brisbane Dick, and Louis V. Bell Funds, Joseph Pulitzer Bequest, and The Annenberg Fund Inc. Gift, 1975"
13.100.61,False,True,35984,212,Asian Art,Dwelling in landscape,China,17th century,1600,1644,Folding fan mounted as an album leaf; ink and color on gold paper,"John Stewart Kennedy Fund, 1913"
13.100.89,False,True,36000,212,Asian Art,River landscape,China,,1644,1676,Folding fan mounted as an album leaf; ink on paper,"John Stewart Kennedy Fund, 1913"
13.100.112,False,True,36006,212,Asian Art,Narcissus,China,13th century,1200,1279,Fan mounted as an album leaf; ink and color on silk,"John Stewart Kennedy Fund, 1913"
42.25.28,False,True,36046,207,Asian Art,Bodhisattva Avalokiteshvara (Guanyin),China,12th century,1100,1199,Gilt arsenical bronze; lost-wax cast,"Gift of Abby Aldrich Rockefeller, 1942"
47.18.147,False,True,36065,210,Asian Art,Man sleeping on a bamboo couch,China,late 14th–15th century,1468,1499,Album leaf; ink and color on silk,"From the Collection of A. W. Bahr, Purchase, Fletcher Fund, 1947"
61.237,False,True,36085,208,Asian Art,Bodhisattva,China,11th–12th century,1000,1199,Wood (foxglove) with traces of pigment and gilding; single woodblock construction,"Gift of D. Herbert Beskind, 1961"
1992.166.2a–ff,False,True,36445,216,Asian Art,Rubbing of Stele for Shi Chen,China,19th century rubbing; stele dated 169 CE,1800,1899,Rubbing mounted in an album of thirty-two leaves; ink on paper,"Gift of Mr. and Mrs. Wan-go H. C. Weng, 1992"
1986.22,False,True,36145,213,Asian Art,Calligraphy after three texts by Yan Zhenqing,China,dated 1729,1729,1729,Handscroll; ink on paper,"Purchase, Bequest of Dorothy Graham Bennett, 1986"
2000.284.44,False,True,37750,244,Asian Art,Anthropomorphic Lime Container,"Indonesia (Java, Lumajang, Pasiran)",ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2000.284.45,False,True,37751,244,Asian Art,Lime Container with Figural Handles,Indonesia (Java),ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2000.284.46,False,True,37752,244,Asian Art,Anthropomorphic Lime Container,"Indonesia (Java, Lumajang, Pasiran)",ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2000.284.51,False,True,37755,244,Asian Art,Tympanum of a Pejeng-Type Drum,Indonesia (Sumba),ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2000.284.58,False,True,37759,244,Asian Art,"Large Pediform Ax with Animals, Boat and ""Feather Man""",Vietnam,ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
2000.284.59,False,True,37760,244,Asian Art,"Flat Plaque with Bells and a ""Feather Man"" in Rowing Position",Vietnam,ca. 500 BCE–300 CE,-510,310,Bronze,"Samuel Eilenberg Collection, Bequest of Samuel Eilenberg, 1998"
1989.238.3,False,True,37461,250,Asian Art,Dish with Peony Design,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
1989.238.4,False,True,37462,250,Asian Art,Pot with Foliate Design,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
"1989.238.11a, b",False,True,37469,250,Asian Art,Covered Box,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
"1989.238.18a, b",False,True,37476,250,Asian Art,Covered Jar,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
"1989.238.19a, b",False,True,37477,250,Asian Art,Covered Jar,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
"1989.238.24a, b",False,True,37482,250,Asian Art,Covered Jar in the Form of a Bird,Thailand (Si Satchanalai),14th–ca. mid-16th century,1300,1570,Earthenware with cream white glaze and iron-brown underglaze decoration,"Purchase, Gifts of friends of Jim Thompson, in his memory, 1989"
